2018-05-10 13:48:13.341859|ERROR   |              |   |error reading tcp socket Eine vorhandene Verbindung wurde vom Remotehost geschlossen
2018-05-10 13:48:15.210728|INFO    |Query         |   |query from 1936 127.0.0.1:4549 issued: login with account "serveradmin"(serveradmin)
2018-05-10 13:48:47.723041|ERROR   |              |   |error reading tcp socket Eine vorhandene Verbindung wurde vom Remotehost geschlossen
2018-05-10 13:48:49.546256|INFO    |Query         |   |query from 2016 127.0.0.1:4557 issued: login with account "serveradmin"(serveradmin)
2018-05-10 13:49:32.441959|ERROR   |              |   |error reading tcp socket Eine vorhandene Verbindung wurde vom Remotehost geschlossen
2018-05-10 13:49:34.162322|INFO    |Query         |   |query from 1760 127.0.0.1:4568 issued: login with account "serveradmin"(serveradmin)
2018-05-10 13:52:04.344696|ERROR   |              |   |error reading tcp socket Eine vorhandene Verbindung wurde vom Remotehost geschlossen
2018-05-10 13:52:06.202528|INFO    |Query         |   |query from 2024 127.0.0.1:4599 issued: login with account "serveradmin"(serveradmin)
2018-05-10 14:16:46.742252|ERROR   |              |   |error reading tcp socket Eine vorhandene Verbindung wurde vom Remotehost geschlossen
2018-05-10 14:16:48.779195|INFO    |Query         |   |query from 2040 127.0.0.1:7534 issued: login with account "serveradmin"(serveradmin)
2018-05-10 14:17:16.997873|ERROR   |              |   |error reading tcp socket Eine vorhandene Verbindung wurde vom Remotehost geschlossen
2018-05-10 14:17:17.926037|INFO    |Query         |   |query from 1992 127.0.0.1:7635 issued: login with account "serveradmin"(serveradmin)
2018-05-10 14:36:25.794868|ERROR   |              |   |error reading tcp socket Eine vorhandene Verbindung wurde vom Remotehost geschlossen
2018-05-10 14:36:27.881480|INFO    |Query         |   |query from 1968 127.0.0.1:11227 issued: login with account "serveradmin"(serveradmin)
2018-05-10 14:42:55.568350|ERROR   |              |   |error reading tcp socket Eine vorhandene Verbindung wurde vom Remotehost geschlossen
2018-05-10 14:42:57.559638|INFO    |Query         |   |query from 1756 127.0.0.1:12427 issued: login with account "serveradmin"(serveradmin)
2018-05-10 14:43:08.757302|INFO    |Query         |   |query from 2004 127.0.0.1:12469 issued: login with account "serveradmin"(serveradmin)
2018-05-10 14:56:09.446158|INFO    |Query         |   |query from 1404 127.0.0.1:14885 issued: login with account "serveradmin"(serveradmin)
2018-05-10 14:56:51.486948|ERROR   |              |   |error reading tcp socket Eine vorhandene Verbindung wurde vom Remotehost geschlossen
2018-05-10 14:56:53.395452|INFO    |Query         |   |query from 1820 127.0.0.1:15025 issued: login with account "serveradmin"(serveradmin)
2018-05-10 14:57:43.129463|ERROR   |              |   |error reading tcp socket Eine vorhandene Verbindung wurde vom Remotehost geschlossen
2018-05-10 14:57:44.068162|INFO    |Query         |   |query from 1760 127.0.0.1:15180 issued: login with account "serveradmin"(serveradmin)
2018-05-10 14:57:55.753490|ERROR   |              |   |error reading tcp socket Eine vorhandene Verbindung wurde vom Remotehost geschlossen
2018-05-10 14:57:56.644025|INFO    |Query         |   |query from 1644 127.0.0.1:15232 issued: login with account "serveradmin"(serveradmin)
2018-05-10 15:00:56.182454|ERROR   |              |   |error reading tcp socket Eine vorhandene Verbindung wurde vom Remotehost geschlossen
2018-05-10 15:00:57.909340|INFO    |Query         |   |query from 556 127.0.0.1:15789 issued: login with account "serveradmin"(serveradmin)
2018-05-10 15:10:03.543549|ERROR   |              |   |error reading tcp socket Eine vorhandene Verbindung wurde vom Remotehost geschlossen
2018-05-10 15:10:05.432486|INFO    |Query         |   |query from 1736 127.0.0.1:17483 issued: login with account "serveradmin"(serveradmin)
2018-05-10 15:11:47.689012|ERROR   |              |   |error reading tcp socket Eine vorhandene Verbindung wurde vom Remotehost geschlossen
2018-05-10 15:11:49.316560|INFO    |Query         |   |query from 2028 127.0.0.1:17807 issued: login with account "serveradmin"(serveradmin)
2018-05-10 15:11:59.397418|ERROR   |              |   |error reading tcp socket Eine vorhandene Verbindung wurde vom Remotehost geschlossen
2018-05-10 15:12:00.290964|INFO    |Query         |   |query from 1676 127.0.0.1:17839 issued: login with account "serveradmin"(serveradmin)
2018-05-10 15:19:29.209532|ERROR   |              |   |error reading tcp socket Eine vorhandene Verbindung wurde vom Remotehost geschlossen
2018-05-10 15:19:31.044286|INFO    |Query         |   |query from 2028 127.0.0.1:19234 issued: login with account "serveradmin"(serveradmin)
2018-05-10 15:19:38.465079|ERROR   |              |   |error reading tcp socket Eine vorhandene Verbindung wurde vom Remotehost geschlossen
2018-05-10 15:19:39.407792|INFO    |Query         |   |query from 1644 127.0.0.1:19265 issued: login with account "serveradmin"(serveradmin)
2018-05-10 15:23:28.082192|ERROR   |              |   |error reading tcp socket Eine vorhandene Verbindung wurde vom Remotehost geschlossen
2018-05-10 15:23:29.955076|INFO    |Query         |   |query from 1760 127.0.0.1:19996 issued: login with account "serveradmin"(serveradmin)
2018-05-10 15:23:52.020282|ERROR   |              |   |error reading tcp socket Eine vorhandene Verbindung wurde vom Remotehost geschlossen
2018-05-10 15:23:53.509357|INFO    |Query         |   |query from 1840 127.0.0.1:20066 issued: login with account "serveradmin"(serveradmin)
2018-05-10 15:26:24.916404|ERROR   |              |   |error reading tcp socket Eine vorhandene Verbindung wurde vom Remotehost geschlossen
